time,_dt,strain_zx_interface,stres_xx_interface,stres_xy_interface,stres_yy_interface,stres_yz_interface,stres_zz_interface,stress_zx_interface
1.445,0.005,0.0081755058470925,-6.8357466745309,0.0023711883970881,-5.8109887320523,0.0046810407693821,-5.0022418005616,1.8067865406448
1.45,0.005,0.0081339213404153,-6.4700375548501,0.043252982077577,-5.3591322529085,-0.004563765347819,-4.999085675645,-3.1400143625436
1.455,0.005,0.0080654457403912,-6.4382051882545,-0.0085556992578032,-5.1884732491782,0.0039632931179217,-4.9994734638278,-8.0553807352058
1.46,0.005,0.0078386308044493,-5.7779280137027,0.020042166679069,-5.1453609275414,-0.0024720694035762,-5.0022268258147,-12.422234122589
1.465,0.005,0.0075038577322798,-5.608769699733,-0.0095783635563025,-5.1427160629087,0.0010845022717765,-4.9960748682565,-15.517477920975
1.47,0.005,0.0070029834245107,-5.4581924420248,-0.025135730139002,-5.1370027691948,0.001058768994766,-5.0054947875752,-17.872915343481
1.475,0.005,0.0065069658131427,-5.5417330520381,-0.025330112315438,-5.1491280667137,-0.0026310260484651,-4.9930660461032,-20.617442689218
1.48,0.005,0.0059739720767041,-5.6435065922678,0.0019321758573563,-5.2088059954973,0.0043874131806884,-5.0079865663386,-24.255455102145
1.485,0.005,0.0052256746882383,-5.3355466685283,0.04296978727954,-5.1533571981222,-0.0059808091745321,-4.9913490789167,-25.230692692741
1.49,0.005,0.0041299679239958,-5.1151388111454,0.021202534575707,-5.1039457382337,0.0072221128507517,-5.0093677840254,-22.177212518158
1.495,0.005,0.0030983591026007,-5.0857598491973,0.0079474100945941,-5.0529733372824,-0.0077888569674379,-4.990196287987,-20.157290799882
1.5,0.005,0.002074347738526,-5.108297131678,0.0042386321165676,-5.0719874598097,0.0080416246842968,-5.0099887465642,-19.151937733687
1.505,0.005,0.00096248992912142,-5.0441247450924,0.0092262075983588,-5.0313973686537,-0.0080921722561407,-4.990180585335,-17.139342687773
1.51,0.005,-0.00018846580674562,-5.0585249471994,0.0066876213147773,-5.0414949863108,0.0075922248906488,-5.0094989057983,-14.871882962961
1.515,0.005,-0.0010892545187109,-5.0970876770562,0.00067390366870629,-5.0198762145155,-0.0082686592412965,-4.9906839593205,-16.273000511413
1.52,0.005,-0.0019099091536061,-5.0798540707337,0.0060437731998867,-5.0538116722069,0.008080786191855,-5.0095546432119,-18.676326124272
1.525,0.005,-0.0027633105768304,-5.0547319447171,0.013699052207729,-5.0261570413991,-0.0073420507099968,-4.9901101292854,-20.745642743624
1.53,0.005,-0.0038005518600643,-5.0880905741845,0.0024269224636002,-5.0517948536293,0.0065110928214627,-5.0100702277097,-19.838560522289
1.535,0.005,-0.0048734161050012,-5.0650340760072,0.0019467401452368,-5.0174760650953,-0.0051156648489361,-4.9896980296632,-17.766542875971
1.54,0.005,-0.0056735321440785,-5.0258923369059,-0.0079024938019553,-5.0387119912929,0.0040375376850652,-5.0109082354588,-19.180039374654
1.545,0.005,-0.0065501494157414,-5.0486924037956,-0.0019684962023747,-5.0129379681021,-0.0030626091184189,-4.9882110146738,-18.897683632278
1.55,0.005,-0.0074286121981382,-5.0684247484607,-0.010324879471291,-5.0321382719927,0.0012840200681203,-5.012545660818,-17.63452876703
1.555,0.005,-0.0080798905301269,-4.976208925021,-0.0087195079752385,-5.0046109449616,-0.00030505661243239,-4.987304462608,-18.521364698407
1.56,0.005,-0.0088194711856958,-5.091946310989,-0.0082375219511886,-5.0340140294065,-0.0008683543989844,-5.0124136174873,-17.406507828383
1.565,0.005,-0.0093240252501025,-4.9050865286445,0.019384545056144,-5.0003134324305,0.0012713722014466,-4.9886133448751,-18.129409900798
1.57,0.005,-0.0099137108724419,-5.0844898621194,-0.0056843859712442,-5.0358979412969,-0.0013491373012596,-5.0098985840577,-16.65017145367
1.575,0.005,-0.010233151369082,-4.9072757901771,0.0076864750343386,-5.0047059948874,0.0013099502772252,-4.9919040112725,-17.608894037072
1.58,0.005,-0.010652330230981,-5.124023059178,0.0042351031879653,-5.0390007669729,-0.00059347281330716,-5.0059597592789,-15.587383451474
1.585,0.005,-0.010696812277506,-4.440353259648,-0.047679244229423,-5.2762917205225,-6.5368603951533e-05,-4.9963280491255,-17.958028991452
1.59,0.005,-0.010954270768731,-5.0667674027841,0.017712725183389,-5.0457045557028,0.0013842164692206,-5.0016500740067,-14.804234614804
1.595,0.005,-0.010961707767127,-5.4586583078715,0.0089523312921511,-5.4552758221215,-0.0027430545749544,-4.9998545754275,-14.941379674923
1.6,0.005,-0.01096186690798,-6.1100246406326,0.072305802385127,-5.7060958674693,0.0042813533075269,-4.9995419998625,-11.274977875139
1.605,0.005,-0.010963650015218,-6.6436821923719,-0.1098284995725,-5.6372486690106,-0.0057457610684243,-5.0004824442139,-8.1271059256341
1.61,0.005,-0.010929761489214,-6.9793921621965,-0.099822396921211,-5.5104249000318,0.0070010199329042,-5.0001246853892,-1.5776705525443
1.615,0.005,-0.010889472274439,-6.4712635785485,-0.020809285467595,-5.1076818696775,-0.0079526725720246,-4.9987868466078,3.7511177679747
1.62,0.005,-0.010612579936775,-5.4708478119659,-0.035898455837864,-5.0711544258899,0.0091782712444562,-5.0029624046372,9.6479382096673
1.625,0.005,-0.010425530644637,-6.5805392724786,-0.061746331261404,-5.2495404871984,-0.010182905203083,-4.9949770757607,15.279974849722
1.63,0.005,-0.0099882075824964,-5.9268677104541,-0.071746414632519,-5.1965388022101,0.011676009319845,-5.0070893979028,21.425852779146
1.635,0.005,-0.0094909610676249,-5.9518370421574,-0.055448203854502,-5.2167611077678,-0.012776736122602,-4.9908961202425,25.580494176538
1.64,0.005,-0.0085931962642852,-5.3719093544209,-0.025454791429453,-5.165603503535,0.013547773692573,-5.0110396871833,27.451067264783
1.645,0.005,-0.007686857430256,-5.4359921183475,0.042747747292098,-5.1261748807306,-0.013277398123788,-4.9872741393981,28.261796698875
1.65,0.005,-0.0066996619129524,-5.3787149016214,0.053368675618729,-5.167263108021,0.013471724366847,-5.0136397625899,30.613772518517
1.655,0.005,-0.0054731846635225,-5.2067596302078,0.018954807303039,-5.1161555874664,-0.013128790269392,-4.985856391922,29.398220872229
1.66,0.005,-0.0039229591935045,-5.0328099727062,0.0028871893831839,-5.0961718766765,0.011641363302956,-5.0148873636038,25.038974117426
1.665,0.005,-0.0024979630062905,-5.0579529721119,0.0067791931809595,-5.0243878261417,-0.010642323690449,-4.9842639689876,22.151248179971
1.67,0.005,-0.0010348925925633,-5.0681933806716,-0.0024733610377792,-5.0676855881934,0.0079255614311178,-5.016736742767,20.022364410754
1.675,0.005,0.00038797909457572,-5.0712086249581,-0.0023394945372776,-5.0134315236372,-0.0058007043619367,-4.9820200630647,18.496212980308
1.68,0.005,0.0015872089226752,-5.1060110004912,-0.0028006501893284,-5.0560356543723,0.00430976487725,-5.0196665365503,20.485848350286
1.685,0.005,0.0028020551572936,-5.0029541277683,-0.00056570825706881,-5.0124689759654,-0.0017405635834233,-4.9791035886746,21.760886635904
1.69,0.005,0.0041086347705591,-5.0806414609808,0.0058434971544969,-5.0524543367036,-9.5853064416364e-05,-5.0218275344522,22.314771711108
1.695,0.005,0.0055426653722788,-5.0630421074749,-0.0034569715043513,-5.0060667748213,0.0025467861763788,-4.9774678214237,19.613951218174
1.7,0.005,0.0066418268801286,-4.9956033753422,-0.004446440922424,-5.0480178519572,-0.0035165128918605,-5.0233141804259,22.032829076752
1.705,0.005,0.0079063410553548,-5.0250035533305,-0.0066829387456093,-5.0080414788077,0.003719633167506,-4.9766102196078,20.045479802357
1.71,0.005,0.0090420546442566,-5.0861472150024,0.0065127321795786,-5.0441257294158,-0.0044728859470735,-5.0224095259491,20.891443796616
1.715,0.005,0.010011958896471,-5.0040460786625,0.006705828140134,-5.0140370130378,0.0032190549206947,-4.9797507218799,20.510204222836
1.72,0.005,0.011050161532477,-5.1124044785167,0.00349593662577,-5.0445465546084,-0.0029053382410149,-5.0167832377098,20.776295606355
1.725,0.005,0.011748636737277,-4.9186477452852,0.036988061193404,-5.0251628157193,0.0013560592830649,-4.9876078125412,21.384914509223
1.73,0.005,0.012676748494565,-5.1370395999137,-0.014178433696034,-5.0467580165523,0.0010413108730065,-5.0067122072394,20.419724439616
1.735,0.005,0.013095971917912,-4.7917042520459,0.010168800449344,-5.0360383675525,-0.0032089025777049,-4.9994897281545,22.139932632093
1.74,0.005,0.013850539797421,-5.1264829369332,-0.027054026600434,-5.0420620273599,0.0052166685488369,-4.9940792302917,19.835441987279
1.745,0.005,0.014137586097408,-4.8803763913468,0.00549980844009,-5.0467649271935,-0.0065757715752322,-5.0121947674349,20.452623976479
1.75,0.005,0.014523776708606,-5.1952365270438,-0.0025932102093855,-5.0392488088404,0.0074724948303874,-4.9825839572532,19.196700969713
1.755,0.005,0.014548614928839,-5.6769480749184,0.050923065764523,-5.8724887948308,-0.0076954574968331,-5.0217449544125,20.611289395695
1.76,0.005,0.014734322343433,-5.1849642767281,0.10397768324772,-5.0670059110655,0.007416675392537,-4.9755889428299,17.324251603016
1.765,0.005,0.014739669188908,-6.9104089526232,0.28244901427285,-6.1196752846956,-0.0069406311503722,-5.0254127165713,15.355556076007
1.77,0.005,0.014733716307689,-8.5352360191659,0.26824650348052,-6.6593736684161,0.0061347653305222,-4.9752394984057,8.975667063764
1.775,0.005,0.014720370035854,-9.0398995902383,0.17662899878862,-6.6094577348765,-0.0052032555805927,-5.0228428249436,3.3281297934192
1.78,0.005,0.014595471090536,-7.2685670860037,0.096293871911215,-5.5571276962941,0.0040121116436118,-4.9801669504551,-4.5042284673236
1.785,0.005,0.014502691772911,-8.7756460393894,0.029320387359475,-6.3200508878895,-0.0028572433362987,-5.0157129021837,-12.346454971545
1.79,0.005,0.014014456913942,-5.8925095089896,-0.0034441871345221,-5.1697527331428,0.0014134464007568,-4.9893339016428,-18.409044651001
1.795,0.005,0.01357370227691,-6.5170526837582,-0.01784284143447,-5.4041603660544,-0.00025066441918543,-5.005062946968,-24.763035746708
1.8,0.005,0.012678963775594,-5.4435191869353,-0.017280351690242,-5.1917635032781,-0.0017648232966337,-5.0011010422813,-28.028108709099
1.805,0.005,0.011594964421122,-5.4982567491023,-0.036618470193568,-5.2060489485361,0.0022885379026912,-4.9926096913304,-29.19898426277
1.81,0.005,0.010134351173592,-5.0876558157614,-0.023722035053217,-5.122392205347,-0.0031155057396133,-5.0130144526722,-26.879949131277
1.815,0.005,0.008914466927906,-5.3120484420363,-0.038995063652778,-5.0918887169874,0.0036310762995301,-4.9812222046635,-29.14187135968
1.82,0.005,0.0076011174022367,-5.3003690638549,-0.041682550388238,-5.1549634915913,-0.0034883210355264,-5.0227311517814,-30.65874787422
1.825,0.005,0.0058035516812988,-5.0641683181242,-0.0090689332901084,-5.0561226517404,0.0022586993015332,-4.9749459614212,-27.546576648322
1.83,0.005,0.0038801844793434,-5.0008531208428,0.0090112093957336,-5.0725373452642,-0.0022366478108076,-5.0262708621067,-21.38060924082
1.835,0.005,0.0021550392347039,-5.0237391245039,0.00024312912121579,-4.9967096548251,0.0012059075954762,-4.9733618229441,-20.780106663891
1.84,0.005,0.00057065477879138,-5.0873732613011,0.0042300121288651,-5.0581642870237,4.0735724911735e-05,-5.0261271425979,-20.42266695335
1.845,0.005,-0.0011511417487297,-5.0580901536107,0.0053302550640125,-5.0013653368282,-0.00049255428381561,-4.9751964420874,-20.386390414293
1.85,0.005,-0.0026113185476946,-5.101617990417,0.003352794025197,-5.0506757018689,0.0016881751170111,-5.0229071773604,-22.233254455192
1.855,0.005,-0.0041175299508936,-5.0351151512372,0.0022711287248695,-5.0088085757399,-0.0027301742052834,-4.9800717063663,-24.401695590999
1.86,0.005,-0.0057229224906324,-5.0569279554313,0.011417355408414,-5.0388633279982,0.0027199255113777,-5.0159905686721,-24.056863159005
1.865,0.005,-0.0072608270379056,-5.0842401670073,-0.01160272240195,-5.013076467559,-0.0039557386733214,-4.9883419017479,-23.884240648918
1.87,0.005,-0.0085020461820921,-4.9810754842714,0.0031058825346846,-5.0380758031422,0.0045489948156392,-5.0072114135236,-27.569107302184
1.875,0.005,-0.0098021188896368,-5.0881599569397,0.011311093534155,-5.0440669126489,-0.0044071802252252,-4.9977907718433,-28.037843177575
1.88,0.005,-0.011271518949873,-5.0479229007427,-0.003805282456509,-5.0256511956448,0.0041977960066262,-4.9968345192839,-26.579409466612
